n_nodes,repetition,pass,convergence_s,connections_observed,connections_expected,propagation_n_samples,propagation_latency_median_ms,propagation_latency_p95_ms,propagation_latency_p99_ms,apply_events_total,lifecycle_events_total,wall_time_s,fatal_error
2,19,True,0.008807894002529792,2,2,35,0.082791,0.34607629999999956,0.47928521999999985,40,8,7.646479417002411,
2,20,True,0.004503800002567004,2,2,35,0.099791,0.3237398999999999,0.35554005999999994,39,8,7.684621929998684,
2,21,True,0.003623140000854619,2,2,33,0.110999,0.31364799999999987,0.42446732,38,8,7.673363892005,
2,22,True,0.004849880999245215,2,2,35,0.108291,0.27346909999999974,0.3771808399999998,40,8,7.842073733998404,
2,23,True,0.014128645998425782,2,2,35,0.111624,0.2702068999999999,0.3978438999999995,40,8,7.7890136709975195,
2,24,True,0.010945711001113523,2,2,35,0.111124,0.2703272999999998,0.32612099999999994,40,8,7.870194409006217,
2,25,True,0.014335143998323474,2,2,35,0.109624,0.47308429999999974,0.6281073399999995,40,8,7.767935335999937,
2,26,True,0.010116925004695076,2,2,36,0.1059575,0.2167695,0.5620227999999993,41,8,8.029567113000667,
2,27,True,0.012207659994601272,2,2,35,0.118165,0.3568684,0.4151760599999998,40,8,8.128257803000452,
2,28,True,0.012170867994427681,2,2,35,0.085332,0.17616999999999977,0.2474157199999999,40,8,7.779251145999297,
2,29,True,0.0022190250019775704,2,2,32,0.109499,0.34243124999999985,0.6420116400000004,35,8,9.370784509002988,
4,0,True,0.009388013997522648,12,12,99,0.155999,0.3888969999999998,0.6053808399999997,114,40,9.22506275199703,
4,1,True,0.006940614999621175,12,12,96,0.17758200000000002,0.508746,0.7366087499999984,117,40,8.982694341000752,
4,2,True,0.013047694999841042,12,12,99,0.154249,0.37867139999999994,0.48231799999999997,114,40,8.928343079001934,
4,3,True,0.012774488001014106,12,12,96,0.1634155,0.477715,0.7758418499999997,114,40,9.042427023996424,
4,4,True,0.010431089001940563,12,12,96,0.15064450000000001,0.32709125,0.5494119999999999,114,40,8.928677746996982,
4,5,True,0.010267881996696815,12,12,99,0.191748,0.41078809999999993,0.52922434,117,40,9.066413849002856,
4,6,True,0.006062455002393108,12,12,96,0.1906025,0.5247769999999999,0.6301313499999999,111,40,9.052694162004627,
4,7,True,0.010582087998045608,12,12,99,0.146291,0.39029729999999996,0.5552334799999994,117,40,8.956120177994308,
4,8,True,0.01069912900129566,12,12,99,0.17329,0.39255179999999984,0.5254741399999996,114,40,9.421862581999449,
4,9,True,0.010528921004151925,12,12,99,0.162332,0.41399199999999997,0.5711951399999995,114,40,8.859053954001865,
4,10,True,0.011443996998423245,12,12,96,0.1404575,0.3013515,0.4841987499999999,111,40,8.833813025004929,
4,11,True,0.011299039993900806,12,12,96,0.17866500000000002,0.47098650000000003,0.9848840499999978,111,40,9.489054303005105,
4,12,True,0.010625795002852101,12,12,99,0.166082,0.5080125999999994,8.347839859999992,111,40,9.221517766003672,
4,13,True,0.009453763006604277,12,12,96,0.1732485,0.5180895,0.7810466999999996,108,40,10.582450298999902,
4,14,True,0.011261416002525948,12,12,102,0.21810249999999998,0.7062932499999992,0.8982888399999998,123,40,9.32292326699826,
4,15,True,0.010630254000716377,12,12,99,0.163416,0.3944933999999998,0.4736479999999999,114,40,8.960379657000885,
4,16,True,0.006973947994993068,12,12,102,0.16108250000000002,0.4969754999999997,0.9371314399999986,123,40,9.594921830001113,
4,17,True,0.009338221003417857,12,12,96,0.168207,0.36487200000000003,0.4540611999999996,111,40,8.943372972004,
4,18,True,0.010189548003836535,12,12,99,0.148508,0.42574639999999997,0.5676639799999997,117,40,9.084688117000042,
4,19,True,0.006669292997685261,12,12,99,0.154758,0.4216951,0.8105560599999991,111,40,9.012632771002245,
4,20,True,0.010301193993655033,12,12,99,0.157092,0.3866049,0.5151145999999996,117,40,8.97072353099793,
4,21,True,0.006478559000242967,12,12,99,0.164009,0.42057649999999996,0.4609474399999996,117,40,8.925701351996395,
4,22,True,0.0071713379948050715,12,12,99,0.157091,0.40253349999999993,0.48232668,114,40,8.99216100799822,
4,23,True,0.008035124999878462,12,12,99,0.158633,0.41299159999999996,0.5004124799999994,114,40,8.919452371999796,
4,24,True,0.00945481400412973,12,12,99,0.140382,0.41682199999999997,0.5288560199999999,126,40,8.823606609999842,
4,25,True,0.010626237002725247,12,12,96,0.1781755,0.36172675,0.4605148499999994,111,40,8.845271856000181,
4,26,True,0.006103131003328599,12,12,99,0.163216,0.4602887,0.5740355199999999,114,40,8.99983321200125,
4,27,True,0.008883299000444822,12,12,99,0.151466,0.37378449999999946,0.6739973999999997,114,40,8.931998548003321,
4,28,True,0.006289460005064029,12,12,96,0.1851965,0.46187475,0.7105306,115,40,9.077703720999125,
4,29,True,0.004502873001911212,12,12,99,0.163049,0.3984424999999999,0.4551427199999998,111,40,8.997117264996632,
8,0,True,0.013450600003125146,56,56,224,0.2600325,0.54216245,0.7290060900000002,280,176,11.249895542998274,
8,1,True,0.013120695999532472,56,56,224,0.2738035,0.6155831499999999,0.7637746100000001,280,176,11.406386281996674,
8,2,True,0.014470112997514661,56,56,224,0.2857615,0.6896207999999999,0.8171953600000004,280,176,11.366782552999211,
8,3,True,0.011433179999585263,56,56,224,0.2527395,0.56624165,0.7994436800000003,280,176,11.34266482899693,
8,4,True,0.010028693999629468,56,56,224,0.35063900000000003,0.8140784499999999,1.1680134700000007,280,176,11.988242803003232,
8,5,True,0.0127379559999099,56,56,224,0.30409549999999996,0.6780991999999999,0.9236813400000002,280,176,11.41678623700136,
8,6,True,0.011807907998445444,56,56,224,0.26138550000000005,0.8643542499999999,1.8707076700000012,280,176,12.082320070003334,
8,7,True,0.012871560000348836,56,56,224,0.2841975,0.6581427,1.0293254900000008,280,176,11.709314341998834,
8,8,True,0.011330866000207607,56,56,224,0.28659349999999995,0.6304979000000001,0.7833608600000002,280,176,11.55710424100107,
8,9,True,0.014641303998359945,56,56,224,0.3384495,1.0243212999999995,2.727356420000011,280,176,11.879189931001747,
8,10,True,0.02326745999744162,56,56,224,0.26753,0.6509676,0.8172275900000003,280,176,11.38374957099586,
8,11,True,0.010785400001623202,56,56,224,0.307239,0.6786949999999997,0.8275869200000012,280,176,11.35010961900116,
8,12,True,0.006322871005977504,56,56,224,0.282301,0.5934144499999999,0.7305060900000001,280,176,11.386201421002625,
8,13,True,0.009111870000197086,56,56,224,0.2771135,0.6826504499999999,0.8601416800000001,280,176,11.36387998599821,
8,14,True,0.012411172996507958,56,56,224,0.266466,0.5393543999999999,0.7239529300000004,280,176,11.388515449005354,
8,15,True,0.013775286999589298,56,56,224,0.2401525,0.48325425,0.6834059300000003,280,176,11.267675830000371,
8,16,True,0.012702412001090124,56,56,224,0.254674,0.53408835,0.6466365900000002,280,176,11.276655865993234,
8,17,True,0.01096389400481712,56,56,224,0.24177749999999998,0.49265155,0.6317311600000004,280,176,11.304766717999883,
8,18,True,0.011382606993720401,56,56,224,0.2760285,0.5408006,0.7146983100000008,280,176,11.369192291000218,
8,19,True,0.013406527999904938,56,56,224,0.272862,0.52382825,0.7347695900000003,280,176,11.275688388996059,
